X,Y
0.0000,9.6510
0.0314,9.5938
0.0628,9.7188
0.0942,9.9479
0.1256,10.1198
0.1570,9.9948
0.1884,9.8906
0.2198,9.8281
0.2512,9.5625
0.2826,9.2917
0.3140,9.1875
0.3453,9.2812
0.3767,9.6875
0.4081,9.8333
0.4395,9.8750
0.4709,9.8594
0.5023,9.8854
0.5337,9.8854
0.5651,9.7917
0.5965,9.7448
0.6279,9.4583
0.6593,9.2865
0.6907,9.3750
0.7221,9.6094
0.7535,9.4479
0.7849,9.6615
0.8163,9.9115
0.8477,10.1615
0.8791,10.2083
0.9105,10.1719
0.9419,10.4792
0.9732,10.9948
1.0046,12.3490
1.0360,14.0469
1.0674,14.3021
1.0988,13.5000
1.1302,13.3750
1.1616,13.2604
1.1930,12.5521
1.2244,12.4479
1.2558,12.5156
1.2872,12.9583
1.3186,13.2188
1.3500,12.9583
1.3814,12.9740
1.4128,13.4688
1.4442,13.5312
1.4756,13.0104
1.5070,12.7344
1.5384,13.5938
1.5698,13.7500
1.6011,13.3490
1.6325,13.1198
1.6639,13.1562
1.6953,13.4740
1.7267,14.1146
1.7581,14.5573
1.7895,14.0156
1.8209,13.6510
1.8523,13.2135
1.8837,12.9062
1.9151,12.9740
1.9465,13.4062
1.9779,13.5469
2.0093,13.6146
2.0407,13.7031
2.0721,13.6198
2.1035,13.5469
2.1349,13.5260
2.1663,13.3333
2.1977,13.1198
2.2290,13.2500
2.2604,13.5625
2.2918,14.2135
2.3232,15.0312
2.3546,15.2083
2.3860,14.8646
2.4174,14.7656
2.4488,15.2240
2.4802,15.9167
2.5116,16.3958
2.5430,16.3281
2.5744,16.6719
2.6058,16.5990
2.6372,15.6927
2.6686,14.5208
2.7000,13.8646
2.7314,13.3281
2.7628,13.7031
2.7942,13.7344
2.8256,14.1198
2.8569,14.5052
2.8883,14.5885
2.9197,14.5729
2.9511,14.5573
2.9825,14.5365
3.0139,14.4010
3.0453,14.6354
3.0767,14.7292
3.1081,14.6302
3.1395,14.7552
3.1709,14.8542
3.2023,14.6250
3.2337,13.9375
3.2651,13.7135
3.2965,13.5000
3.3279,13.4948
3.3593,13.6615
3.3907,13.7083
3.4221,13.7969
3.4535,14.8698
3.4849,16.2552
3.5162,16.3229
3.5476,15.8177
3.5790,15.3125
3.6104,15.1510
3.6418,15.0469
3.6732,14.8281
3.7046,14.8177
3.7360,14.7135
3.7674,15.1667
3.7988,14.9167
3.8302,15.3906
3.8616,16.0938
3.8930,16.5781
3.9244,16.5885
3.9558,16.3906
3.9872,15.9948
